name,category,reference,description,url,img_names
Gorra Emergency,confeccion,CAP-20,"Gorra de seguridad en microfibra, con cinta reflectiva y 5 o 6 paneles, cierre en velcro. Marca: Se define por puntadas / Bordado o screen. Unidades por Caja: 200   Unidades  Empaque: 38,0    X 45,0 X 64,0 / 15,0 Kg",https://www.catalogospromocionales.com/p/gorra-emergency/5887/12,"['CAP-20_1.jpg', 'CAP-20_2.jpg', 'CAP-20_3.jpg', 'CAP-20_4.jpg']"
Gorra Golf,confeccion,CAP-13,"5 paneles en dril liviano, visera indeformable, frente fusionado, encintado interior, tafilete sencillo, cierre plástico. Marca: Se define por puntadas / Bordado o screen Unidades por Caja: 200   Unidades  Empaque: 34,0    X 44,0 X 68,0 / 12,0 Kg",https://www.catalogospromocionales.com/p/gorra-golf/471/12,"['CAP-13_1.jpg', 'CAP-13_2.jpg', 'CAP-13_3.jpg', 'CAP-13_4.jpg', 'CAP-13_5.jpg', 'CAP-13_6.jpg', 'CAP-13_7.jpg']"
GILDAN CAMISETA T-SHIRT ADULTO TALLA M,confeccion,5000MD,"Camiseta T-Shirt 100% algodón de 180 gr., cuello redondo. Marca: 28 cm / Screen. Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/gildan-camiseta-t-shirt-adulto-talla-m/5945/12,['5000MD_1.jpg']
Comprimidos - Produccion Nacional,confeccion,COMPRIMIDO,"Sistema publicitario para camisetas, toallas y bayetillas logrando formas compactas con el logo de su empresa. Medidas: Toalla: comprimido 4.5 cm diámetro / Toalla abierta: 30 cm x 29 cm Camiseta: comprimido 7 cm diámetro Comprimido en forma de camiseta: 10.5 cm x 10.5 cm Tallas: S / M / L / XL Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/comprimidos-produccion-nacional/5605/12,"['COMPRIMIDO_1.jpg', 'COMPRIMIDO_2.jpg', 'COMPRIMIDO_3.jpg']"
Gorra Plegable OFERTA,confeccion,PM CAP-25,"Gorra plegable en poliéster con funda para guardar. Colores: Amarillo / Azul / Blanco / Negro / Rojo / Verde. Medidas estuche: 9 cm x 10 cm. Medidas gorra: 28.5 cm x 17 cm. Área de marca estuche: 6 cm. Área de marca gorra: 7 cm. Técnica de marca: Screen. Unidades por Caja: 500   Unidades  Empaque: 45,0    X 32,0 X 32,0 / 9,0 Kg",https://www.catalogospromocionales.com/p/gorra-plegable-oferta/7063/12,['PM CAP-25_1.jpg']
Gorra Beisbol con Vena,confeccion,CAP-10,"6 paneles en dril esmerilado, 4 ojetes bordados, visera indeformable con vena, 6 paneles, botón forrado, frente fusionado, encintado interior, tafilete absorbente en poliéster algodón y cierre velcro. Marca: Se define por puntadas / Bordado o screen Unidades por Caja: 200   Unidades  Empaque: 34,0    X 44,0 X 63,0 / 15,0 Kg",https://www.catalogospromocionales.com/p/gorra-beisbol-con-vena/467/12,"['CAP-10_1.jpg', 'CAP-10_2.jpg', 'CAP-10_3.jpg', 'CAP-10_4.jpg', 'CAP-10_5.jpg', 'CAP-10_6.jpg', 'CAP-10_7.jpg']"
Gorra Beisbol,confeccion,CAP-11,"6 paneles, dril esmerilado, 4 ojetes bordados, visera indeformable 6 costuras, botón forrado, frente fusionado, encintado interior, tafilete absorbente en poliéster algodón, cierre hebilla metálica. Marca: Se define por puntadas / Bordado o screen. Unidades por Caja: 200   Unidades  Empaque: 34,0    X 44,0 X 63,0 / 15,0 Kg",https://www.catalogospromocionales.com/p/gorra-beisbol/469/12,"['CAP-11_1.jpg', 'CAP-11_2.jpg', 'CAP-11_3.jpg', 'CAP-11_4.jpg', 'CAP-11_5.jpg', 'CAP-11_6.jpg', 'CAP-11_7.jpg', 'CAP-11_8.jpg', 'CAP-11_9.jpg']"
GILDAN CAMISETA T-SHIRT ADULTO TALLA L,confeccion,5000LG,"Camiseta T-Shirt 100% algodón de 180 gr., cuello redondo. Marca: 28 cm / Screen. Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/gildan-camiseta-t-shirt-adulto-talla-l/5949/12,['5000LG_1.jpg']
Gorra Plegable OFERTA,confeccion,PM CAP-25,"Gorra plegable en poliéster con funda para guardar. Colores: Amarillo / Azul / Blanco / Negro / Rojo / Verde. Medidas estuche: 9 cm x 10 cm. Medidas gorra: 28.5 cm x 17 cm. Área de marca estuche: 6 cm. Área de marca gorra: 7 cm. Técnica de marca: Screen. Unidades por Caja: 500   Unidades  Empaque: 45,0    X 32,0 X 32,0 / 9,0 Kg",https://www.catalogospromocionales.com/p/gorra-plegable-oferta/7063/12,['PM CAP-25_1.jpg']
Gorra Eco - 6 cascos,confeccion,CAP-16,"En dril liviano, 4 ojetes bordados, botón forrado, frente fusionado, encintado interior, visera indeformable 6 costuras y tafilete cierre velcro. Marca: Se define por puntadas / Bordado o screen. Unidades por Caja: 200   Unidades  Empaque: 38,0    X 45,0 X 65,0 / 17,0 Kg",https://www.catalogospromocionales.com/p/gorra-eco-6-cascos/1082/12,"['CAP-16_1.jpg', 'CAP-16_2.jpg', 'CAP-16_3.jpg', 'CAP-16_4.jpg', 'CAP-16_5.jpg', 'CAP-16_6.jpg', 'CAP-16_7.jpg', 'CAP-16_8.jpg', 'CAP-16_9.jpg']"
Gorra Trucker,confeccion,CAP-22,"5 paneles, frente en poliéster espumado y cuatro paneles en poliéster-malla. Botón forrado y cierre a presión. Marca: Se define por puntadas / Bordado o screen / Sublimación en los colores que tienen panel blanco Unidades por Caja: 200   Unidades  Empaque: 65,0    X 45,0 X 38,0 / 13,0 Kg",https://www.catalogospromocionales.com/p/gorra-trucker/3502/12,"['CAP-22_1.jpg', 'CAP-22_2.jpg', 'CAP-22_3.jpg', 'CAP-22_4.jpg', 'CAP-22_5.jpg', 'CAP-22_6.jpg', 'CAP-22_7.jpg', 'CAP-22_8.jpg', 'CAP-22_9.jpg', 'CAP-22_10.jpg', 'CAP-22_11.jpg', 'CAP-22_12.jpg', 'CAP-22_13.jpg', 'CAP-22_14.jpg', 'CAP-22_15.jpg', 'CAP-22_16.jpg', 'CAP-22_17.jpg']"
GILDAN CAMISETA T-SHIRT ADULTO TALLA XL,confeccion,5000XL,"Camiseta T-Shirt 100% algodón de 180 gr., cuello redondo. Marca: 28 cm / Screen. Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/gildan-camiseta-t-shirt-adulto-talla-xl/5951/12,['5000XL_1.jpg']
GILDAN CAMISETA T-SHIRT ADULTO TALLA S,confeccion,5000SM,"Camiseta T-Shirt 100% algodón de 180 gr., cuello redondo. Marca:28 cm / Screen. Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/gildan-camiseta-t-shirt-adulto-talla-s/5935/12,['5000SM_1.jpg']
GILDAN CAMISETA POLO ADULTO TALLA M,confeccion,94800MD,"Camiseta tipo Polo 50% algodón - 50% poliéster de 220 grs. Marca: Se define por puntadas / Bordado Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/gildan-camiseta-polo-adulto-talla-m/5989/12,['94800MD_1.jpg']
GILDAN CAMISETA T-SHIRT DAMA TALLA L,confeccion,64000LLG,"Camiseta T-Shirt 100% algodón de 153 gr., cuello redondo. Marca: 25 cm / Screen. Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/gildan-camiseta-t-shirt-dama-talla-l/5986/12,['64000LLG_1.jpg']
GILDAN CAMISETA POLO ADULTO TALLA XL,confeccion,94800XL,"Camiseta tipo Polo 50% algodón - 50% poliéster de 220 grs. Marca: Se define por puntadas / Bordado Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/gildan-camiseta-polo-adulto-talla-xl/5992/12,['94800XL_1.jpg']
GILDAN CAMISETA POLO ADULTO TALLA L,confeccion,94800LG,"Camiseta tipo Polo 50% algodón - 50% poliéster de 220 grs. Marca: Se define por puntadas / Bordado Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/gildan-camiseta-polo-adulto-talla-l/5990/12,['94800LG_1.jpg']
GILDAN CAMISETA POLO ADULTO DAMA TALLA L,confeccion,94800LLG,"Camiseta tipo Polo 50% algodón - 50% poliéster de 220 grs. Marca: Se define por puntadas / Bordado Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/gildan-camiseta-polo-adulto-dama-talla-l/5998/12,['94800LLG_1.jpg']
GILDAN CAMISETA T-SHIRT DAMA TALLA XL,confeccion,64000LXL,"Camiseta T-Shirt 100% algodón de 153 gr., cuello redondo. Marca: 25 cm / Screen. Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/gildan-camiseta-t-shirt-dama-talla-xl/5987/12,['64000LXL_1.jpg']
GILDAN CAMISETA POLO ADULTO DAMA TALLA M,confeccion,94800LMD,"Camiseta tipo Polo 50% algodón - 50% poliéster de 220 grs. Marca: Se define por puntadas / Bordado Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/gildan-camiseta-polo-adulto-dama-talla-m/5996/12,['94800LMD_1.jpg']
GILDAN CAMISETA T-SHIRT DAMA TALLA M,confeccion,64000LMD,"Camiseta T-Shirt 100% algodón de 153 gr., cuello redondo. Marca: 25 cm / Screen. Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/gildan-camiseta-t-shirt-dama-talla-m/5985/12,['64000LMD_1.jpg']
GILDAN CAMISETA POLO ADULTO DAMA TALLA S,confeccion,94800LSM,"Camiseta tipo Polo 50% algodón - 50% poliéster de 220 grs. Marca: Se define por puntadas / Bordado Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/gildan-camiseta-polo-adulto-dama-talla-s/5991/12,['94800LSM_1.jpg']
GILDAN CAMISETA T-SHIRT DAMA TALLA S,confeccion,64000LSM,"Camiseta T-Shirt 100% algodón de 153 gr., cuello redondo. Marca: 25 cm / Screen. Unidades por Caja: 0   Unidades  Empaque: 0,0    X 0,0 X 0,0 / 0,0 Kg",https://www.catalogospromocionales.com/p/gildan-camiseta-t-shirt-dama-talla-s/5984/12,['64000LSM_1.jpg']
